NFT Rarity Ranking ======== 
 Edition, Score
Your Collection #13,30.136363636363637
Your Collection #18,29.356643356643357
Your Collection #8,29.636363636363637
Your Collection #11,19.76068376068376
Your Collection #6,22.61782661782662
Your Collection #3,17.175324675324674
Your Collection #15,16.040404040404038
Your Collection #19,15.175324675324676
Your Collection #4,14.713786213786214
Your Collection #12,14.61782661782662
Your Collection #16,14.07886557886558
Your Collection #10,14.04040404040404
Your Collection #5,13.674825174825175
Your Collection #14,13.636363636363637
Your Collection #17,13.57886557886558
Your Collection #7,13.174825174825175
Your Collection #2,13.11782661782662
Your Collection #9,12.213786213786214
Your Collection #1,11.674825174825175
Your Collection #0,11.57886557886558
